programa_propio,generica_sies,area_sies,nivel_condicion,isced_amplio_cod,isced_amplio,isced_estrecho_cod,isced_estrecho,isced_detallado_cod,isced_detallado,dist_niveles_sies,n_programas_sies_2026
Técnico en Logística,Técnico en Logística,Administración y Comercio,tecnico,10,Services,104,Transport services,1041,Transport services,tecnico 100.0%,377.0
Técnico en Mantenimiento Industrial,Técnico en Mantenimiento Industrial,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0715,Mechanics and metal trades,tecnico 100.0%,180.0
Técnico en Masoterapia,Técnico en Masoterapia,Salud,tecnico,09,Health and welfare,091,Health,0917,Traditional and complementary medicine and therapy,tecnico 100.0%,93.0
Técnico en Mecatrónica,Técnico en Mecatrónica,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0714,Electronics and automation,tecnico 100.0%,25.0
Técnico en Mecánica Automotriz,Técnico en Mecánica Automotriz,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0716,"Motor vehicles, ships and aircraft",tecnico 100.0%,212.0
Técnico en Mecánica Industrial,Técnico en Mecánica Industrial,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0715,Mechanics and metal trades,tecnico 100.0%,67.0
Técnico en Medio Ambiente (Control y Gestión),Técnico en Medio Ambiente (Control y Gestión),Tecnología,tecnico,05,"Natural sciences, mathematics and statistics",052,Environment,0521,Environmental sciences,tecnico 100.0%,54.0
Técnico en Metalurgia,Técnico en Metalurgia,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0715,Mechanics and metal trades,tecnico 100.0%,32.0
Técnico en Minería,Técnico en Minería,Tecnología,tecnico,07,"Engineering, manufacturing and construction",072,Manufacturing and processing,0724,Mining and extraction,tecnico 100.0%,181.0
Técnico en Peluquería y Estética,Técnico en Peluquería y Estética,Arte y Arquitectura,tecnico,10,Services,101,Personal services,1012,Hair and beauty services,tecnico 100.0%,151.0
Técnico en Podología,Técnico en Podología,Salud,tecnico,09,Health and welfare,091,Health,0917,Traditional and complementary medicine and therapy,tecnico 100.0%,135.0
Técnico en Prevención de Riesgos,Técnico en Prevención de Riesgos,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0712,Environmental protection technology,tecnico 100.0%,360.0
Técnico en Prevención y Rehabilitación,Técnico en Prevención y Rehabilitación,Ciencias Sociales,tecnico,09,Health and welfare,092,Welfare,0923,Social work and counselling,tecnico 100.0%,38.0
Técnico en Procesos Industriales,Técnico en Procesos Industriales,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0711,Chemical engineering and processes,tecnico 100.0%,22.0
Técnico en Producción de Eventos,Técnico en Producción de Eventos,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0414,Marketing and advertising,tecnico 100.0%,10.0
